User-ID;ISBN;Book-Rating
594;0060517794;9
594;0679776818;8
594;0345443683;8
594;043935806X;7
594;0060096195;10
594;0786817070;10
594;002542730X;10
594;0385504209;8
594;0345354621;10
594;0440220602;9
594;0684867621;8
594;0060930187;10
594;0375760911;10
594;0689817851;10
595;3423202327;6
595;3492045170;7
595;3548359698;6
595;0812511816;9
595;0880381736;9
595;0312283709;8
595;0446605484;7
595;0446611212;8
595;0609804138;9
595;074343627X;8
595;0971880107;2
595;0330262130;10
595;0385720920;10
595;0553262505;7
595;0425189864;9
595;0440236053;9
595;0440241073;9
595;0553586122;5
595;0345342968;9
595;0767903382;8
595;0316154059;5
595;0345452550;7
595;0399148639;6
595;0671024094;7
595;0679450408;6
595;0743486226;7
595;0451173139;7
595;0553580930;9
595;0060391626;10
595;0330332775;10
595;0670869902;10
595;0671021001;10
595;0316969680;8
595;0375703861;7
595;037541309X;7
595;0826308791;5
595;014029628X;6
595;0375703861;10
595;0060173289;8
595;0060976845;5
595;0312195516;7
595;0446608955;4
595;0670892963;7
595;0804114986;5
595;002542730X;10
595;0061009059;9
595;0316776963;8
595;0345413903;10
595;0380702843;8
595;0385424736;9
595;0385486804;9
595;0385503857;9
595;0385504209;8
595;039304016X;8
595;0399501487;9
595;0425116840;8
595;0425133516;9
595;0440224764;7
595;0440236061;8
595;0440236738;9
595;0441627404;10
595;0446350982;9
595;0446608890;10
595;0451191153;8
595;0451203593;10
595;0452284449;6
595;0552137030;8
595;0553280368;9
595;0553571656;10
595;0671528904;8
595;0679731148;9
595;0679736042;5
595;0740723367;9
595;0743406176;8
595;0743412028;9
595;0743457943;8
595;0767903382;10
595;0786866845;10
595;0811802981;10
595;0811811409;10
595;0836217691;10
595;0836218515;10
595;0836221192;10
595;0316666343;7
595;0345452550;5
595;0671027360;7
596;0380718340;7
596;0553292722;8
596;0553571885;8
596;0552142379;8
596;1558745718;8
596;0316603570;10
596;0316693200;10
596;0385508042;10
596;0385510438;10
596;0440241537;10
596;0446530891;10
596;0446613843;10
596;0515133302;10
596;0671886665;10
596;0684835983;10
596;0743206045;10
596;1558744150;10
596;0316777722;10
596;0679439382;7
596;0679723161;8
596;0452268060;7
596;0679734775;6
596;0345392825;9
596;0345435168;3
596;0452268060;5
596;0142004235;5
596;0446608262;9
596;0312421273;3
596;0679771476;7
596;002542730X;5
596;0028604199;9
596;0786890436;4
596;1400031346;8
596;1400031354;8
596;0380018179;8
596;0385472943;8
596;0425116840;6
596;0440241073;8
596;034539657X;8
596;0380731851;6
596;0425142485;7
596;0425147363;8
596;042516098X;5
596;0440211727;8
596;0440214041;9
596;0553579754;7
596;0812543262;8
596;0743225406;8
596;0771060548;10
596;051510566X;5
596;0743206061;4
596;0316769487;6
596;0425171396;8
596;0061015725;4
596;0446611638;5
596;0446613843;6
596;0451208765;10
596;0553582763;6
596;0061031070;7
596;0449005615;10
596;0804114986;8
596;0061031550;8
596;0312421273;7
596;0345339681;3
596;0440235162;5
596;0887307876;9
596;0929634063;10
596;0316666343;7
596;0679734775;8
596;0395977894;10
596;0553575538;6
596;0679781587;10
596;0767903579;7
596;0446672211;7
596;0446675059;7
